id,timestamp,full_sq,life_sq,floor,state,max_floor,material,build_year,num_room,kitch_sq,full_all,sub_area,price_doc
8059,2013-05-21,11,11.0,2.0,3.0,5.0,2.0,1907.0,1.0,12.0,75377,Hamovniki,2750000
8138,2013-05-25,53,30.0,10.0,3.0,16.0,1.0,1980.0,2.0,8.0,68630,Lianozovo,9000000
8156,2013-05-27,77,41.0,2.0,1.0,17.0,6.0,2014.0,3.0,12.0,9553,Poselenie Voskresenskoe,7011550
8157,2013-05-27,45,27.0,6.0,3.0,9.0,1.0,1970.0,2.0,6.0,78616,Severnoe Butovo,7100000
8178,2013-05-28,38,20.0,15.0,,16.0,1.0,1982.0,1.0,8.0,112804,Filevskij Park,6450000
8189,2013-05-28,63,,17.0,1.0,17.0,4.0,2013.0,2.0,1.0,247469,Nekrasovka,5903808
8258,2013-05-30,74,46.0,12.0,3.0,24.0,1.0,2004.0,3.0,9.0,27992,Juzhnoe Medvedkovo,12100000
8271,2013-05-31,93,93.0,3.0,1.0,1.0,1.0,2013.0,3.0,1.0,5740,Poselenie Pervomajskoe,5427640
8285,2013-06-01,51,30.0,7.0,3.0,17.0,1.0,2003.0,2.0,9.0,125111,Solncevo,7700000
8290,2013-06-03,77,50.0,3.0,2.0,5.0,2.0,1957.0,3.0,8.0,1100773,Ajeroport,11700000
8296,2013-06-03,38,19.0,17.0,3.0,17.0,1.0,1986.0,1.0,8.0,129207,Orehovo-Borisovo Juzhnoe,1600000
8353,2013-06-06,43,29.0,3.0,3.0,5.0,2.0,1960.0,2.0,5.0,115352,Nagornoe,6400000
8365,2013-06-06,54,31.0,7.0,3.0,10.0,1.0,1995.0,2.0,9.0,165727,Mar'ino,9100000
8370,2013-06-06,44,28.0,1.0,2.0,9.0,1.0,1979.0,2.0,6.0,156377,Strogino,7200000
8377,2013-06-07,32,18.0,7.0,,9.0,1.0,1975.0,1.0,5.0,125354,Chertanovo Severnoe,5100000
8384,2013-06-07,52,33.0,13.0,,25.0,2.0,2004.0,2.0,7.0,166803,Shhukino,11200000
8390,2013-06-07,56,29.0,5.0,2.0,16.0,5.0,1987.0,2.0,10.0,155427,Horoshevo-Mnevniki,10400000
8394,2013-06-07,31,21.0,5.0,3.0,9.0,5.0,1962.0,1.0,5.0,61039,Ramenki,6200000
8413,2013-06-10,43,27.0,1.0,2.0,5.0,2.0,1960.0,2.0,5.0,57405,Preobrazhenskoe,5950000
8426,2013-06-10,46,29.0,9.0,3.0,9.0,2.0,1969.0,2.0,5.0,100846,Dmitrovskoe,5900000
8427,2013-06-10,74,45.0,7.0,2.0,14.0,1.0,1993.0,3.0,10.0,21155,Mitino,11000000
8429,2013-06-10,75,46.0,11.0,3.0,17.0,1.0,1996.0,3.0,10.0,21155,Mitino,10500000
8430,2013-06-10,45,29.0,2.0,3.0,9.0,1.0,1972.0,2.0,6.0,123000,Kon'kovo,2000000
8454,2013-06-11,38,19.0,16.0,1.0,17.0,1.0,2011.0,1.0,7.0,7341,Poselenie Moskovskij,2680000
8455,2013-06-11,38,24.0,4.0,2.0,9.0,2.0,1965.0,2.0,5.0,57995,Sokol,4500000
8473,2013-06-11,54,32.0,7.0,3.0,17.0,1.0,2010.0,2.0,9.0,65972,Ostankinskoe,4569600
8479,2013-06-12,41,20.0,11.0,2.0,12.0,1.0,1985.0,1.0,8.0,105663,Juzhnoe Tushino,6600000
8501,2013-06-14,59,33.0,16.0,,17.0,1.0,2006.0,2.0,0.0,64931,Vostochnoe Degunino,9850000
8502,2013-06-14,37,18.0,2.0,2.0,0.0,1.0,1979.0,1.0,0.0,86206,Bibirevo,6000000
8504,2013-06-14,40,24.0,7.0,2.0,8.0,2.0,1961.0,2.0,5.0,175518,Rostokino,7300000
8512,2013-06-14,33,15.0,12.0,2.0,14.0,1.0,2003.0,1.0,7.0,102618,Juzhnoe Butovo,5300000
8516,2013-06-14,39,19.0,4.0,2.0,17.0,1.0,1985.0,1.0,8.0,80791,Horoshevskoe,3000000
8522,2013-06-15,56,38.0,2.0,3.0,9.0,1.0,1971.0,3.0,6.0,47245,Meshhanskoe,10500000
8528,2013-06-17,60,42.0,4.0,,9.0,1.0,1978.0,3.0,6.0,61396,Otradnoe,1000000
8538,2013-06-17,38,23.0,7.0,3.0,12.0,5.0,1966.0,2.0,6.0,57405,Preobrazhenskoe,6700000
8560,2013-06-18,71,42.0,16.0,3.0,17.0,1.0,1987.0,3.0,10.0,67710,Krylatskoe,14500000
8566,2013-06-19,46,45.0,5.0,3.0,5.0,1.0,1967.0,2.0,5.0,94564,Golovinskoe,5800000
8577,2013-06-19,114,69.0,13.0,,18.0,4.0,2000.0,3.0,16.0,155427,Horoshevo-Mnevniki,28500000
8579,2013-06-19,58,31.0,17.0,3.0,17.0,1.0,1985.0,2.0,10.0,85721,Brateevo,8500000
8580,2013-06-19,44,27.0,2.0,2.0,9.0,1.0,1967.0,2.0,5.0,123000,Kon'kovo,6900000
8586,2013-06-19,39,25.0,1.0,,5.0,2.0,1964.0,2.0,5.0,80917,Marfino,6400000
8593,2013-06-20,39,20.0,3.0,2.0,12.0,1.0,1977.0,1.0,8.0,86206,Bibirevo,4850000
8605,2013-06-20,66,46.0,8.0,3.0,16.0,5.0,1983.0,3.0,7.0,157010,Ivanovskoe,2000000
8608,2013-06-20,59,43.0,8.0,3.0,9.0,1.0,1980.0,3.0,6.0,165727,Mar'ino,2000000
8628,2013-06-22,54,32.0,10.0,3.0,12.0,1.0,2004.0,2.0,9.0,26943,Mar'ina Roshha,10300000
8630,2013-06-22,53,32.0,9.0,3.0,16.0,1.0,1978.0,2.0,9.0,78418,Altuf'evskoe,9300000
8641,2013-06-24,42,28.0,9.0,2.0,9.0,1.0,1970.0,2.0,6.0,37502,Sviblovo,7250000
8642,2013-06-24,44,28.0,8.0,3.0,9.0,2.0,1968.0,2.0,5.0,142462,Mozhajskoe,8000000
8646,2013-06-24,36,19.0,5.0,,16.0,1.0,1980.0,1.0,8.0,86206,Bibirevo,6100000
8650,2013-06-24,37,18.0,12.0,2.0,16.0,1.0,1979.0,1.0,8.0,156377,Strogino,6900000
8655,2013-06-24,45,28.0,2.0,3.0,5.0,1.0,1964.0,2.0,5.0,145576,Caricyno,6775000
8689,2013-06-25,78,43.0,1.0,2.0,17.0,1.0,1985.0,3.0,10.0,105663,Juzhnoe Tushino,10500000
8692,2013-06-25,61,32.0,12.0,3.0,14.0,1.0,2000.0,2.0,10.0,28179,Basmannoe,11500000
8699,2013-06-26,44,30.0,4.0,2.0,5.0,5.0,1962.0,2.0,5.0,78810,Koptevo,5650000
