timestamp,salary,fixed_basket,rent_price_3room_eco,rent_price_2room_eco,rent_price_1room_eco,average_life_exp
2010-01-01,38410.5,11443.63,,,,74.2
2010-01-02,38410.5,11443.63,,,,74.2
2010-01-03,38410.5,11443.63,,,,74.2
2010-01-04,38410.5,11443.63,,,,74.2
2010-01-05,38410.5,11443.63,,,,74.2
2010-01-06,38410.5,11443.63,,,,74.2
2010-01-07,38410.5,11443.63,,,,74.2
2010-01-08,38410.5,11443.63,,,,74.2
2010-01-09,38410.5,11443.63,,,,74.2
2010-01-10,38410.5,11443.63,,,,74.2
2010-01-11,38410.5,11443.63,,,,74.2
2010-01-12,38410.5,11443.63,,,,74.2
2010-01-13,38410.5,11443.63,,,,74.2
2010-01-14,38410.5,11443.63,,,,74.2
2010-01-15,38410.5,11443.63,,,,74.2
2010-01-16,38410.5,11443.63,,,,74.2
2010-01-17,38410.5,11443.63,,,,74.2
2010-01-18,38410.5,11443.63,,,,74.2
2010-01-19,38410.5,11443.63,,,,74.2
2010-01-20,38410.5,11443.63,,,,74.2
2010-01-21,38410.5,11443.63,,,,74.2
2010-01-22,38410.5,11443.63,,,,74.2
2010-01-23,38410.5,11443.63,,,,74.2
2010-01-24,38410.5,11443.63,,,,74.2
2010-01-25,38410.5,11443.63,,,,74.2
2010-01-26,38410.5,11443.63,,,,74.2
2010-01-27,38410.5,11443.63,,,,74.2
2010-01-28,38410.5,11443.63,,,,74.2
2010-01-29,38410.5,11443.63,,,,74.2
2010-01-30,38410.5,11443.63,,,,74.2
2010-01-31,38410.5,11443.63,,,,74.2
2010-02-01,38410.5,11524.14,,,,74.2
2010-02-02,38410.5,11524.14,,,,74.2
2010-02-03,38410.5,11524.14,,,,74.2
2010-02-04,38410.5,11524.14,,,,74.2
2010-02-05,38410.5,11524.14,,,,74.2
2010-02-06,38410.5,11524.14,,,,74.2
2010-02-07,38410.5,11524.14,,,,74.2
2010-02-08,38410.5,11524.14,,,,74.2
2010-02-09,38410.5,11524.14,,,,74.2
2010-02-10,38410.5,11524.14,,,,74.2
2010-02-11,38410.5,11524.14,,,,74.2
2010-02-12,38410.5,11524.14,,,,74.2
2010-02-13,38410.5,11524.14,,,,74.2
2010-02-14,38410.5,11524.14,,,,74.2
2010-02-15,38410.5,11524.14,,,,74.2
2010-02-16,38410.5,11524.14,,,,74.2
2010-02-17,38410.5,11524.14,,,,74.2
2010-02-18,38410.5,11524.14,,,,74.2
2010-02-19,38410.5,11524.14,,,,74.2
2010-02-20,38410.5,11524.14,,,,74.2
2010-02-21,38410.5,11524.14,,,,74.2
2010-02-22,38410.5,11524.14,,,,74.2
2010-02-23,38410.5,11524.14,,,,74.2
2010-02-24,38410.5,11524.14,,,,74.2
2010-02-25,38410.5,11524.14,,,,74.2
2010-02-26,38410.5,11524.14,,,,74.2
2010-02-27,38410.5,11524.14,,,,74.2
2010-02-28,38410.5,11524.14,,,,74.2
2010-03-01,38410.5,11577.71,,,,74.2
2010-03-02,38410.5,11577.71,,,,74.2
2010-03-03,38410.5,11577.71,,,,74.2
2010-03-04,38410.5,11577.71,,,,74.2
2010-03-05,38410.5,11577.71,,,,74.2
2010-03-06,38410.5,11577.71,,,,74.2
2010-03-07,38410.5,11577.71,,,,74.2
2010-03-08,38410.5,11577.71,,,,74.2
2010-03-09,38410.5,11577.71,,,,74.2
2010-03-10,38410.5,11577.71,,,,74.2
2010-03-11,38410.5,11577.71,,,,74.2
2010-03-12,38410.5,11577.71,,,,74.2
2010-03-13,38410.5,11577.71,,,,74.2
2010-03-14,38410.5,11577.71,,,,74.2
2010-03-15,38410.5,11577.71,,,,74.2
2010-03-16,38410.5,11577.71,,,,74.2
2010-03-17,38410.5,11577.71,,,,74.2
2010-03-18,38410.5,11577.71,,,,74.2
2010-03-19,38410.5,11577.71,,,,74.2
2010-03-20,38410.5,11577.71,,,,74.2
2010-03-21,38410.5,11577.71,,,,74.2
