time;income
2006-01-01 00:00:00;179862
2006-02-01 00:00:00;235720
2006-03-01 00:00:00;255376
2006-04-01 00:00:00;246310
2006-05-01 00:00:00;244297
2006-06-01 00:00:00;261164
2006-07-01 00:00:00;279315
2006-08-01 00:00:00;259149
2006-09-01 00:00:00;249041
2006-10-01 00:00:00;223604
2006-11-01 00:00:00;238253
2006-12-01 00:00:00;222417
2007-01-01 00:00:00;211499
2007-02-01 00:00:00;237702
2007-03-01 00:00:00;296084
2007-04-01 00:00:00;285885
2007-05-01 00:00:00;297120
2007-06-01 00:00:00;311918
2007-07-01 00:00:00;283117
2007-08-01 00:00:00;274383
2007-09-01 00:00:00;261663
2007-10-01 00:00:00;259162
2007-11-01 00:00:00;231681
2007-12-01 00:00:00;277079
2008-01-01 00:00:00;253793
2008-02-01 00:00:00;278236
2008-03-01 00:00:00;285180
2008-04-01 00:00:00;339719
2008-05-01 00:00:00;315771
2008-06-01 00:00:00;293286
2008-07-01 00:00:00;343129
2008-08-01 00:00:00;313645
2008-09-01 00:00:00;290464
2008-10-01 00:00:00;272442
2008-11-01 00:00:00;243534
2008-12-01 00:00:00;254475
2009-01-01 00:00:00;242551
2009-02-01 00:00:00;223919
2009-03-01 00:00:00;279029
2009-04-01 00:00:00;241020
2009-05-01 00:00:00;249396
2009-06-01 00:00:00;254017
2009-07-01 00:00:00;228173
2009-08-01 00:00:00;235545
2009-09-01 00:00:00;212198
2009-10-01 00:00:00;211449
2009-11-01 00:00:00;191854
2009-12-01 00:00:00;205075
2010-01-01 00:00:00;161165
2010-02-01 00:00:00;203631
2010-03-01 00:00:00;249243
2010-04-01 00:00:00;238813
2010-05-01 00:00:00;240392
2010-06-01 00:00:00;292929
2010-07-01 00:00:00;252443
2010-08-01 00:00:00;269870
2010-09-01 00:00:00;268568
2010-10-01 00:00:00;270511
2010-11-01 00:00:00;234749
2010-12-01 00:00:00;326102
